date,week,isHoliday
20220816,Tuesday,FALSE
20220817,Wednesday,FALSE
20220818,Thursday,FALSE
20220819,Friday,FALSE
20220820,Saturday,TRUE
20220821,Sunday,TRUE
20220822,Monday,FALSE
20220823,Tuesday,FALSE
20220824,Wednesday,FALSE
20220825,Thursday,FALSE
20220826,Friday,FALSE
20220827,Saturday,TRUE
20220828,Sunday,TRUE
20220829,Monday,FALSE
20220830,Tuesday,FALSE
20220831,Wednesday,FALSE
20220901,Thursday,FALSE
20220902,Friday,FALSE
20220903,Saturday,TRUE
20220904,Sunday,TRUE
20220905,Monday,FALSE
20220906,Tuesday,FALSE
20220907,Wednesday,FALSE
20220908,Thursday,FALSE
20220909,Friday,TRUE
20220910,Saturday,TRUE
20220911,Sunday,TRUE
20220912,Monday,FALSE
20220913,Tuesday,FALSE
20220914,Wednesday,FALSE
20220915,Thursday,FALSE
20220916,Friday,FALSE
20220917,Saturday,TRUE
20220918,Sunday,TRUE
20220919,Monday,FALSE
20220920,Tuesday,FALSE
20220921,Wednesday,FALSE
20220922,Thursday,FALSE
20220923,Friday,FALSE
20220924,Saturday,TRUE
20220925,Sunday,TRUE
20220926,Monday,FALSE
20220927,Tuesday,FALSE
20220928,Wednesday,FALSE
20220929,Thursday,FALSE
20220930,Friday,FALSE
20221001,Saturday,TRUE
20221002,Sunday,TRUE
20221003,Monday,FALSE
20221004,Tuesday,FALSE
20221005,Wednesday,FALSE
20221006,Thursday,FALSE
20221007,Friday,FALSE
20221008,Saturday,TRUE
20221009,Sunday,TRUE
20221010,Monday,TRUE
20221011,Tuesday,FALSE
20221012,Wednesday,FALSE
20221013,Thursday,FALSE
20221014,Friday,FALSE
20221015,Saturday,TRUE
20221016,Sunday,TRUE
20221017,Monday,FALSE
20221018,Tuesday,FALSE
20221019,Wednesday,FALSE
20221020,Thursday,FALSE
20221021,Friday,FALSE
20221022,Saturday,TRUE
20221023,Sunday,TRUE
20221024,Monday,FALSE
20221025,Tuesday,FALSE
20221026,Wednesday,FALSE
20221027,Thursday,FALSE
20221028,Friday,FALSE
20221029,Saturday,TRUE
20221030,Sunday,TRUE
20221031,Monday,FALSE
20221101,Tuesday,FALSE
20221102,Wednesday,FALSE
20221103,Thursday,FALSE
20221104,Friday,FALSE
20221105,Saturday,TRUE
20221106,Sunday,TRUE
20221107,Monday,FALSE
20221108,Tuesday,FALSE
20221109,Wednesday,FALSE
20221110,Thursday,FALSE
20221111,Friday,FALSE
20221112,Saturday,TRUE
20221113,Sunday,TRUE
20221114,Monday,FALSE
20221115,Tuesday,FALSE
20221116,Wednesday,FALSE
20221117,Thursday,FALSE
20221118,Friday,FALSE
20221119,Saturday,TRUE
20221120,Sunday,TRUE
20221121,Monday,FALSE
20221122,Tuesday,FALSE
20221123,Wednesday,FALSE
20221124,Thursday,FALSE
20221125,Friday,FALSE
20221126,Saturday,TRUE
20221127,Sunday,TRUE
20221128,Monday,FALSE
20221129,Tuesday,FALSE
20221130,Wednesday,FALSE
20221201,Thursday,FALSE
20221202,Friday,FALSE
20221203,Saturday,TRUE
20221204,Sunday,TRUE
20221205,Monday,FALSE
20221206,Tuesday,FALSE
20221207,Wednesday,FALSE
20221208,Thursday,FALSE
20221209,Friday,FALSE
20221210,Saturday,TRUE
20221211,Sunday,TRUE
20221212,Monday,FALSE
20221213,Tuesday,FALSE
20221214,Wednesday,FALSE
20221215,Thursday,FALSE
20221216,Friday,FALSE
20221217,Saturday,TRUE
20221218,Sunday,TRUE
20221219,Monday,FALSE
20221220,Tuesday,FALSE
20221221,Wednesday,FALSE
20221222,Thursday,FALSE
20221223,Friday,FALSE
20221224,Saturday,TRUE
20221225,Sunday,TRUE
20221226,Monday,FALSE
20221227,Tuesday,FALSE
20221228,Wednesday,FALSE
20221229,Thursday,FALSE
20221230,Friday,FALSE
20221231,Saturday,TRUE
