date,week,isHoliday
20230101,Sunday,TRUE
20230102,Monday,TRUE
20230103,Tuesday,FALSE
20230104,Wednesday,FALSE
20230105,Thursday,FALSE
20230106,Friday,FALSE
20230107,Saturday,FALSE
20230108,Sunday,TRUE
20230109,Monday,FALSE
20230110,Tuesday,FALSE
20230111,Wednesday,FALSE
20230112,Thursday,FALSE
20230113,Friday,FALSE
20230114,Saturday,TRUE
20230115,Sunday,TRUE
20230116,Monday,FALSE
20230117,Tuesday,FALSE
20230118,Wednesday,FALSE
20230119,Thursday,FALSE
20230120,Friday,TRUE
20230121,Saturday,TRUE
20230122,Sunday,TRUE
20230123,Monday,TRUE
20230124,Tuesday,TRUE
20230125,Wednesday,TRUE
20230126,Thursday,TRUE
20230127,Friday,TRUE
20230128,Saturday,TRUE
20230129,Sunday,TRUE
20230130,Monday,FALSE
20230131,Tuesday,FALSE
20230201,Wednesday,FALSE
20230202,Thursday,FALSE
20230203,Friday,FALSE
20230204,Saturday,FALSE
20230205,Sunday,TRUE
20230206,Monday,FALSE
20230207,Tuesday,FALSE
20230208,Wednesday,FALSE
20230209,Thursday,FALSE
20230210,Friday,FALSE
20230211,Saturday,TRUE
20230212,Sunday,TRUE
20230213,Monday,FALSE
20230214,Tuesday,FALSE
20230215,Wednesday,FALSE
20230216,Thursday,FALSE
20230217,Friday,FALSE
20230218,Saturday,FALSE
20230219,Sunday,TRUE
20230220,Monday,FALSE
20230221,Tuesday,FALSE
20230222,Wednesday,FALSE
20230223,Thursday,FALSE
20230224,Friday,FALSE
20230225,Saturday,TRUE
20230226,Sunday,TRUE
20230227,Monday,TRUE
20230228,Tuesday,TRUE
20230301,Wednesday,FALSE
20230302,Thursday,FALSE
20230303,Friday,FALSE
20230304,Saturday,TRUE
20230305,Sunday,TRUE
20230306,Monday,FALSE
20230307,Tuesday,FALSE
20230308,Wednesday,FALSE
20230309,Thursday,FALSE
20230310,Friday,FALSE
20230311,Saturday,TRUE
20230312,Sunday,TRUE
20230313,Monday,FALSE
20230314,Tuesday,FALSE
20230315,Wednesday,FALSE
20230316,Thursday,FALSE
20230317,Friday,FALSE
20230318,Saturday,TRUE
20230319,Sunday,TRUE
20230320,Monday,FALSE
20230321,Tuesday,FALSE
20230322,Wednesday,FALSE
20230323,Thursday,FALSE
20230324,Friday,FALSE
20230325,Saturday,FALSE
20230326,Sunday,TRUE
20230327,Monday,FALSE
20230328,Tuesday,FALSE
20230329,Wednesday,FALSE
20230330,Thursday,FALSE
20230331,Friday,FALSE
20230401,Saturday,TRUE
20230402,Sunday,TRUE
20230403,Monday,TRUE
20230404,Tuesday,TRUE
20230405,Wednesday,TRUE
20230406,Thursday,FALSE
20230407,Friday,FALSE
20230408,Saturday,TRUE
20230409,Sunday,TRUE
20230410,Monday,FALSE
20230411,Tuesday,FALSE
20230412,Wednesday,FALSE
20230413,Thursday,FALSE
